Run accession number	Number of base pairs	Tissue type	Cell line	Cell type	UBERON code	UBERON term	DOT code	DOT term	Library strategy	Instrument platform	Donor information
SRR4785813	17639019724	synovial tissue	Primary tissue	synovial fibroblast	UBERON:0002217	synovial joint	normal	normal	RNA-Seq	ILLUMINA	nan
SRR18363159	1711108148	Adipose tissue biopsy	Primary tissue	Adipocyte	UBERON:0001013	adipose tissue	DOID:0110741	type 1 diabetes mellitus 2	RNA-Seq	ILLUMINA	nan
SRR7094294	6466751396	Blood	Primary tissue	Blood cells	UBERON:0000178	blood	normal	normal	RNA-Seq	ILLUMINA	nan
SRR25387948	4813409536	prostate	Primary tissue	Epithelial cells Stromal cells Immune cells	nan	nan	DOID:10283	prostate cancer	RNA-Seq	ILLUMINA	nan
SRR7094265	6841367496	Blood	Primary tissue	Blood cells	UBERON:0000178	blood	normal	normal	RNA-Seq	ILLUMINA	nan
SRR3393496	3645399900	brain	Primary tissue	Neuron	UBERON:0002435	striatum	normal	normal	RNA-Seq	ILLUMINA	nan
SRR15013552	7290717888	liver	Primary tissue	Hepatocyte	UBERON:0002107	liver	normal	normal	RNA-Seq	ILLUMINA	nan
SRR23920439	12950724965	colon, intact bowel wall	Primary tissue	Enteric smooth muscle cells	UBERON:0001155	colon	DOID:8778	Crohn s disease	RNA-Seq	ILLUMINA	nan
SRR15013467	6125074656	liver	Primary tissue	Hepatocyte	UBERON:0002107	liver	normal	normal	RNA-Seq	ILLUMINA	nan
SRR16013051	16248197100	oral mucosa	Primary tissue	Epithelial	UBERON:0000093	sulcus	DOID:0050866	oral squamous cell carcinoma	RNA-Seq	ILLUMINA	nan
SRR5259641	2417129550	Uninvolved	Primary tissue	Epithelial cells	nan	nan	DOID:0050424, DOID:657	adenoma, familial adenomatous polyposis	RNA-Seq	ILLUMINA	nan
SRR3393509	3001876300	Dorsal striatum	Primary tissue	Neuron	nan	nan	normal	normal	RNA-Seq	ILLUMINA	nan
SRR4240818	11287277712	Tibialis anterior muscle	Primary tissue	Muscle cells  Cardiac muscle cells	nan	nan	DOID:0050759, DOID:11723	Duchenne muscular dystrophy, myotonic dystrophy type 2	RNA-Seq	ILLUMINA	nan
SRR10192694	10484029200	hippocampus	Primary tissue	Neuron	UBERON:0001954	Ammon s horn	normal	normal	RNA-Seq	ILLUMINA	nan
SRR3703035	3576895400	Noncancerous tissue	Primary tissue	Thyroid cells	UBERON:0002046	thyroid gland	DOID:3969	papillary thyroid carcinoma	RNA-Seq	ILLUMINA	nan
SRR8518269	16396149000	Paired normal breast tissue	Primary tissue	Breast epithelial cells	UBERON:0001911	mammary gland	DOID:1612	breast cancer	RNA-Seq	ILLUMINA	nan
SRR11547435	17956181100	Liver tissue	nan	nan	nan	nan	nan	nan	RNA-Seq	ILLUMINA	nan
SRR5259629	1830218900	Uninvolved	Primary tissue	Epithelial cells	nan	nan	DOID:0050424, DOID:657	adenoma, familial adenomatous polyposis	RNA-Seq	ILLUMINA	nan
SRR7094278	7148801708	nan	nan	nan	nan	nan	nan	nan	RNA-Seq	ILLUMINA	nan
SRR4240784	2606717040	Quadriceps muscle	Primary tissue	Muscle cells  Cardiac muscle cells	UBERON:0001134	skeletal muscle tissue	normal	normal	RNA-Seq	ILLUMINA	nan
SRR7012371	13769212800	Fresh frozen adjacent normal tissue	Primary tissue	Breast epithelial cells	UBERON:0001911	mammary gland	DOID:1612	breast cancer	RNA-Seq	ILLUMINA	nan
SRR15013504	2922031488	liver	Primary tissue	Hepatocyte	UBERON:0002107	liver	normal	normal	RNA-Seq	ILLUMINA	nan
SRR7094252	6243790548	nan	nan	nan	UBERON:0000178	blood	normal	normal	RNA-Seq	ILLUMINA	nan
SRR15013479	2984300544	liver	Primary tissue	Hepatocyte	UBERON:0002107	liver	normal	normal	RNA-Seq	ILLUMINA	nan
SRR6937800	2687734500	skin	Primary tissue	Skin cells	UBERON:0002097	skin of body	normal	keloid    	RNA-Seq	ILLUMINA	nan
SRR13572929	3891909500	Normal appearing thyroid tissue adjacent to PTC tumor Thyroid	nan	nan	nan	nan	nan	nan	RNA-Seq	ILLUMINA	nan
SRR7094279	6785557055	blood	Primary tissue	leukocyte	UBERON:0000178	blood	normal	normal	RNA-Seq	ILLUMINA	nan
SRR25387905	12546107890	prostate	Primary tissue	Epithelial cells Stromal cells Immune cells	nan	nan	DOID:10283	prostate cancer	RNA-Seq	ILLUMINA	nan
SRR21736658	5223858587	Brain white matter	Primary tissue	Oligodendrocytes Astrocytes Microglia	nan	Central nervous system white matter	DOID:2377	multiple sclerosis	RNA-Seq	ILLUMINA	nan
SRR7430750	4007301100	Ovary	Primary tissue	Ovary cells	UBERON:0000992	ovary	normal	normal	RNA-Seq	ILLUMINA	nan
SRR11812193	14821965800	sigmoidal colon	Primary tissue	colon epithelial	UBERON:0001159	sigmoid colon	normal	normal	RNA-Seq	ILLUMINA	nan
SRR8052767	7389001368	skin	Primary tissue	keratinocyte	UBERON:0002097	skin of body	normal	normal	RNA-Seq	ILLUMINA	nan
SRR19095697	3059245476	Vastus Lateralis	Primary tissue	Skeletal muscle cell	UBERON:0001134	skeletal muscle tissue	DOID:0080846	latent autoimmune diabetes in adults	RNA-Seq	ILLUMINA	nan
SRR22283288	30859349400	Whole blood	nan	nan	nan	nan	nan	nan	RNA-Seq	ILLUMINA	nan
SRR15013677	2233419168	liver	Primary tissue	Hepatocyte	UBERON:0002107	liver	normal	normal	RNA-Seq	ILLUMINA	nan
SRR22532373	9104145792	Peripheral blood	Primary tissue	Peripheral blood CD19  B cell	nan	Peripheral blood	normal	Cigarette dependence	RNA-Seq	ILLUMINA	nan
SRR15013520	9205240800	liver	Primary tissue	Hepatocyte	UBERON:0002107	liver	normal	normal	RNA-Seq	ILLUMINA	nan
SRR23630242	47654267878	Skin	Primary tissue	primary skin fibroblasts	UBERON:0002097	skin of body	normal	normal	RNA-Seq	ILLUMINA	nan
SRR22532366	9049523376	Peripheral blood	Primary tissue	Peripheral blood CD19  B cell	UBERON:0000178	blood	normal	normal	RNA-Seq	ILLUMINA	nan
SRR15013657	3032544288	liver	Primary tissue	Hepatocyte	UBERON:0002107	liver	normal	normal	RNA-Seq	ILLUMINA	nan
SRR15013518	5012725440	liver	Primary tissue	Hepatocyte	UBERON:0002107	liver	normal	normal	RNA-Seq	ILLUMINA	nan
SRR22925389	6755504382	Placenta	Primary tissue	Trophoblast	nan	nan	normal	normal	RNA-Seq	ILLUMINA	nan
SRR6937808	10737227750	skin	Primary tissue	Fibroblast	UBERON:0000014	zone of skin	normal	normal	RNA-Seq	ILLUMINA	nan
SRR13142169	6878298768	Testis	Primary tissue	Spermatogenic cells	UBERON:0000473	testis	normal	normal	RNA-Seq	ILLUMINA	nan
SRR15013666	3070918752	liver	Primary tissue	Hepatocyte	UBERON:0002107	liver	normal	normal	RNA-Seq	ILLUMINA	nan
SRR16212317	20472326400	nan	nan	nan	nan	nan	nan	nan	RNA-Seq	ILLUMINA	nan
SRR14027920	17018525700	Adjacent tissue	nan	nan	nan	nan	nan	nan	RNA-Seq	ILLUMINA	nan
SRR1721309	5801913000	nan	nan	nan	nan	nan	nan	nan	RNA-Seq	ILLUMINA	nan
SRR13485948	10854111600	Anterior Cingulate cortex  human brain tissue 	Primary tissue	Neuron	UBERON:0001876	amygdala	normal	Child Abuse, Psychopathology	RNA-Seq	ILLUMINA	nan
SRR1424669	2160425400	brain	Primary tissue	neuron	UBERON:0000955	brain	normal	normal	RNA-Seq	ILLUMINA	nan
SRR22283226	29473063200	Whole blood	Primary tissue	Blood cells	UBERON:0000178	blood	normal	normal	RNA-Seq	ILLUMINA	nan
ERR5320476	3653828562	Adipose tissue	Primary tissue	Adipocytes	nan	nan	DOID:9970	obesity	RNA-Seq	ILLUMINA	nan
SRR22301780	11019258220	Placenta	Primary tissue	placental villous tissue	nan	nan	normal	normal	RNA-Seq	ILLUMINA	nan
SRR15013683	4520801952	liver	Primary tissue	Hepatocyte Kupffer cell Liver sinusoidal endothelial cell Stellate cell and others	UBERON:0002107	liver	DOID:409	liver disease	RNA-Seq	ILLUMINA	nan
SRR14362368	13221533200	Heart  Atrial Appendage 	Primary tissue	Cardiac Myocytes	UBERON:0006631	right atrium auricular region	normal	Ischemic Heart Disease	RNA-Seq	ILLUMINA	nan
SRR15013478	2673930432	liver	Primary tissue	Hepatocyte	UBERON:0002107	liver	normal	normal	RNA-Seq	ILLUMINA	nan
SRR15013587	4718030688	liver	Primary tissue	Hepatocyte Kupffer cell Liver sinusoidal endothelial cell Stellate cell and others	UBERON:0002107	liver	DOID:409	liver disease	RNA-Seq	ILLUMINA	nan
SRR25387928	4855172752	prostate	Primary tissue	Epithelial cells Stromal cells Immune cells	nan	nan	DOID:10283	prostate cancer	RNA-Seq	ILLUMINA	nan
ERR2022830	2812642190	Normal human tissue Melanoma Breast cancer	13 melanoma samples and 7 breast cancer cell lines Primary tissue	Melanocytes  Mammary gland cells	nan	Breast,  + Skin	DOID:1612, DOID:1909	breast cancer, melanoma	RNA-Seq	ILLUMINA	nan
SRR22301782	11160580328	Placenta	Primary tissue	placental villous tissue	UBERON:0001987	placenta	DOID:10591	pre-eclampsia	RNA-Seq	ILLUMINA	nan
SRR10192689	20118682000	hippocampus	Primary tissue	Neuron	UBERON:0001954	Ammon s horn	normal	normal	RNA-Seq	ILLUMINA	nan
SRR7767510	5602753800	endometrium	Primary tissue	Endometrial epithelial cell	UBERON:0001295	endometrium	normal	normal	RNA-Seq	ILLUMINA	nan
SRR14362361	10914036600	Heart  Atrial Appendage 	Primary tissue	Cardiac myocyte	UBERON:0006631	right atrium auricular region	DOID:4	disease	RNA-Seq	ILLUMINA	nan
SRR26436577	12297907798	Colon, whole mucosa	Primary tissue	Epithelial	nan	nan	normal	normal	RNA-Seq	ILLUMINA	nan
SRR22532397	7327787152	Peripheral blood	Primary tissue	Peripheral blood CD19  B cell	UBERON:0000178	blood	normal	normal	RNA-Seq	ILLUMINA	nan
SRR25387955	4301380360	prostate	Primary tissue	Prostate cells	UBERON:0002367	prostate gland	DOID:10283	prostate cancer	RNA-Seq	ILLUMINA	nan
SRR12743486	14025568200	lung	Primary tissue	lung epithelial cells	UBERON:0002048	lung	DOID:2957	pulmonary tuberculosis	RNA-Seq	ILLUMINA	nan
SRR7094284	8653806305	Blood	Primary tissue	Leukocytes	UBERON:0000178	blood	normal	normal	RNA-Seq	ILLUMINA	nan
SRR15013601	5916210048	liver	Primary tissue	Hepatocyte	UBERON:0002107	liver	normal	normal	RNA-Seq	ILLUMINA	nan
SRR22302323	9378755768	Fibroblasts Monocytes	Primary tissue	primary fibroblast	nan	nan	DOID:2757, DOID:2914	immune system disease, obsolete Mycobacterium infectious disease	RNA-Seq	ILLUMINA	nan
SRR26974282	7105684800	muscle	Primary tissue	Skeletal muscle cell	UBERON:0001134	skeletal muscle tissue	normal	normal	RNA-Seq	ILLUMINA	nan
SRR14027924	18716490300	Adjacent tissue	Primary tissue	Hepatocyte	nan	nan	normal	normal	RNA-Seq	ILLUMINA	nan
SRR15013573	7914144000	liver	Primary tissue	Hepatocyte	UBERON:0002107	liver	normal	normal	RNA-Seq	ILLUMINA	nan
SRR24709859	4417938520	Basilic vein	Primary tissue	Venous endothelial cells Smooth muscle cells Fibroblasts	nan	Upper limb vein	DOID:557	kidney disease	RNA-Seq	ILLUMINA	nan
SRR5259631	1834838350	Uninvolved	Primary tissue	Epithelial cells	nan	nan	DOID:0050424, DOID:657	adenoma, familial adenomatous polyposis	RNA-Seq	ILLUMINA	nan
SRR6937784	6613485900	skin	Primary tissue	Fibroblast	UBERON:0002097	skin of body	normal	keloid    	RNA-Seq	ILLUMINA	nan
SRR15013488	1551467616	liver	Primary tissue	Hepatocyte Kupffer cell Liver sinusoidal endothelial cell Stellate cell and others	UBERON:0002107	liver	DOID:409	liver disease	RNA-Seq	ILLUMINA	nan
SRR19666460	21613468800	paracancerous tissue Cervical	Primary tissue	Fibroblast	UBERON:0000002	uterine cervix	DOID:4362	cervical cancer	RNA-Seq	ILLUMINA	nan
SRR22302252	15310619896	Fibroblasts Monocytes	Primary tissue	Monocyte-derived macrophages	nan	nan	DOID:2757, DOID:2914	immune system disease, obsolete Mycobacterium infectious disease	RNA-Seq	ILLUMINA	nan
ERR2022845	3636566137	Normal human tissue Melanoma Breast cancer	13 melanoma samples and 7 breast cancer cell lines Primary tissue	Melanocytes  Mammary gland cells	nan	Breast,  + Skin	DOID:1612, DOID:1909	breast cancer, melanoma	RNA-Seq	ILLUMINA	nan
SRR22925347	10016892352	Placenta	Primary tissue	Trophoblast	nan	nan	normal	normal	RNA-Seq	ILLUMINA	nan
ERR5320465	2993886384	Adipose tissue	Primary tissue	Adipocytes	nan	nan	DOID:9970	obesity	RNA-Seq	ILLUMINA	nan
ERR1514472	6546839041	Bone marrow	Primary tissue	osteocyte	UBERON:0002371	bone marrow	DOID:17	Cellular aging, musculoskeletal system disease	RNA-Seq	ILLUMINA	nan
SRR7094260	6960774495	Blood	Primary tissue	Erythrocytes	UBERON:0000178	blood	normal	normal	RNA-Seq	ILLUMINA	nan
SRR10192640	9233661200	hippocampus	Primary tissue	Neurons Astrocytes Immune cells	nan	nan	DOID:0070077	schizophrenia 1	RNA-Seq	ILLUMINA	nan
ERR5285493	27451250200	Oral mucosa	Primary tissue	Epithelial cells	UBERON:0003729	mouth mucosa	normal	normal	RNA-Seq	ILLUMINA	nan
SRR11927151	10144759200	Lateral Amygdala  human brain tissue 	Primary tissue	Neuron	UBERON:0001876	amygdala	normal	normal	RNA-Seq	ILLUMINA	nan
ERR1993153	1279880364	Ileal tissue	Primary tissue	Epithelial cells immune cells	nan	nan	DOID:8778	Crohn's disease	RNA-Seq	ILLUMINA	nan
SRR15013611	3624687264	liver	Primary tissue	Hepatocyte	UBERON:0002107	liver	normal	normal	RNA-Seq	ILLUMINA	nan
SRR8052771	8600780160	nan	nan	nan	nan	nan	nan	nan	RNA-Seq	ILLUMINA	nan
SRR7430706	5233393500	Ovary	Primary tissue	Ovary cell	UBERON:0000992	ovary	normal	normal	RNA-Seq	ILLUMINA	nan
ERR1514464	5517111790	Bone marrow	Primary tissue	mesenchymal stem cell	UBERON:0002371	bone marrow	DOID:17	Cellular aging, musculoskeletal system disease	RNA-Seq	ILLUMINA	nan
SRR15013598	7617452736	liver	Primary tissue	Hepatocyte	UBERON:0002107	liver	normal	normal	RNA-Seq	ILLUMINA	nan
SRR23630196	30878361762	skin	Primary tissue	primary skin fibroblasts	UBERON:0002097	skin of body	normal	normal	RNA-Seq	ILLUMINA	nan
SRR5591601	18620433200	Peripheral Retina	Primary tissue	Retinal cell	UBERON:0013682	peripheral region of retina	normal	normal	RNA-Seq	ILLUMINA	nan
SRR8052766	8540927388	nan	nan	nan	nan	nan	nan	nan	RNA-Seq	ILLUMINA	nan
SRR22966254	2132872000	airway epithelia	differentiated primary cells	epitheial	UBERON:0004802	respiratory tract epithelium	normal	normal	RNA-Seq	ILLUMINA	nan
ERR4659269	1653751296	thymus	Primary tissue	thymic interstitial cell	UBERON:0002370	thymus	normal	normal	RNA-Seq	ILLUMINA	nan
SRR7430729	3968058500	Testis	Primary tissue	Testicular cells	UBERON:0000473	testis	normal	normal	RNA-Seq	ILLUMINA	nan
SRR8518206	14925108600	Paired normal breast tissue	Primary tissue	Breast tissue cells	UBERON:0001911	mammary gland	normal	normal	RNA-Seq	ILLUMINA	nan
SRR22925262	7045945840	Placenta	Primary tissue	Trophoblasts Placental endothelial cells Decidual cells	nan	nan	nan	nan	RNA-Seq	ILLUMINA	nan
SRR7430735	3580327500	Testis	nan	nan	nan	nan	nan	nan	RNA-Seq	ILLUMINA	nan
SRR1424705	4201241500	nan	nan	nan	nan	nan	nan	nan	RNA-Seq	ILLUMINA	nan
SRR11927146	10150232200	Lateral Amygdala  human brain tissue 	Primary tissue	Neuron	UBERON:0001876	amygdala	normal	normal	RNA-Seq	ILLUMINA	nan
SRR25387977	4587098256	prostate	Primary tissue	Epithelial cell	UBERON:0002367	prostate gland	DOID:10283	prostate cancer	RNA-Seq	ILLUMINA	nan
SRR22283223	25564284000	Whole blood	Primary tissue	Blood cells	UBERON:0000178	blood	normal	normal	RNA-Seq	ILLUMINA	nan
SRR23630234	47901190024	skin	Primary tissue	primary skin fibroblasts	UBERON:0000014	zone of skin	normal	normal	RNA-Seq	ILLUMINA	nan
SRR6937778	7502184944	skin	Primary tissue	Fibroblast	UBERON:0000014	zone of skin	normal	keloid    	RNA-Seq	ILLUMINA	nan
SRR1603663	25287600247	frozen postmortem brain from NICHD	Primary tissue	Neuron	UBERON:0002336	corpus callosum	normal	normal	RNA-Seq	ILLUMINA	nan
SRR1721287	5385936200	heart	Primary tissue	Cardiomyocyte	UBERON:0000948	heart	normal	normal	RNA-Seq	ILLUMINA	nan
SRR11547377	23569732500	Liver tissue	nan	nan	nan	nan	nan	nan	RNA-Seq	ILLUMINA	nan
SRR12844808	8712085314	Spinal Cord	Primary tissue	Motor neurons and skeletal muscle cells	nan	nan	DOID:0050529	adult spinal muscular atrophy	RNA-Seq	ILLUMINA	nan
SRR15013615	3870287712	liver	Primary tissue	Hepatocyte	UBERON:0002107	liver	normal	normal	RNA-Seq	ILLUMINA	nan
SRR18572062	18689281800	lung	Primary tissue	Respiratory epithelial cells Fibroblasts and other lung tissue constituent cells	UBERON:0002048	lung	DOID:0050156	idiopathic pulmonary fibrosis	RNA-Seq	ILLUMINA	nan
SRR11927147	11660726200	Lateral Amygdala  human brain tissue 	Primary tissue	Neuron	UBERON:0001876	amygdala	normal	Child Abuse, Psychopathology	RNA-Seq	ILLUMINA	nan
SRR14362378	12805161600	Heart  Atrial Appendage 	Primary tissue	Cardiac cell	UBERON:0000948	heart	DOID:4	disease	RNA-Seq	ILLUMINA	nan
SRR3703027	7589395600	Noncancerous tissue	Primary tissue	Thyroid cell	UBERON:0002046	thyroid gland	DOID:3969	papillary thyroid carcinoma	RNA-Seq	ILLUMINA	nan
SRR4785837	17895328000	synovial biopsy	Primary tissue	fibroblast	UBERON:0007616	layer of synovial tissue	normal	normal	RNA-Seq	ILLUMINA	nan
SRR13572947	12166505786	Normal appearing thyroid tissue adjacent to PTC tumor Thyroid	Primary tissue	Thyroid cell	UBERON:0002046	thyroid gland	DOID:3969	papillary thyroid carcinoma	RNA-Seq	ILLUMINA	nan
SRR1424658	1975226100	nan	nan	nan	nan	nan	nan	nan	RNA-Seq	ILLUMINA	nan
ERR1514456	4319818586	Musculoskeletal tissue	Primary tissue	tenocyte	UBERON:0001134	skeletal muscle tissue	normal	normal	RNA-Seq	ILLUMINA	nan
SRR22966249	2223624100	airway epithelia	differentiated primary cells	epitheial	UBERON:0004802	respiratory tract epithelium	DOID:0111579	asthma	RNA-Seq	ILLUMINA	nan
SRR10192663	10682557024	hippocampus	Primary tissue	Neuron	UBERON:0001954	Ammon s horn	normal	normal	RNA-Seq	ILLUMINA	nan
SRR22283257	33402661800	Whole blood	Primary tissue	Blood cells	UBERON:0000178	blood	normal	normal	RNA-Seq	ILLUMINA	nan
SRR15013528	6856029984	liver	Primary tissue	Hepatocyte Kupffer cell Liver sinusoidal endothelial cell Stellate cell and others	UBERON:0002107	liver	DOID:409	liver disease	RNA-Seq	ILLUMINA	nan
ERR5285526	19848386800	nan	nan	nan	nan	nan	nan	nan	RNA-Seq	ILLUMINA	nan
SRR4240816	9658784862	Tibialis anterior muscle	Primary tissue	Skeletal muscle cell	UBERON:0001385	tibialis anterior	normal	myotonic dystrophy    	RNA-Seq	ILLUMINA	nan
ERR1993156	1122185484	Ileal tissue	Primary tissue	Epithelial cells immune cells	nan	nan	DOID:8778	Crohn's disease	RNA-Seq	ILLUMINA	nan
SRR15013630	3579657216	liver	Primary tissue	Hepatocyte	UBERON:0002107	liver	normal	normal	RNA-Seq	ILLUMINA	nan
SRR22302246	15469790442	Fibroblasts Monocytes	Primary tissue	Monocyte-derived macrophages	nan	nan	DOID:2757, DOID:2914	immune system disease, obsolete Mycobacterium infectious disease	RNA-Seq	ILLUMINA	nan
SRR15013470	4662525696	liver	Primary tissue	Hepatocyte	UBERON:0002107	liver	normal	normal	RNA-Seq	ILLUMINA	nan
ERR1993158	1004166912	Ileal tissue	Primary tissue	Epithelial cells immune cells	nan	nan	DOID:8778	Crohn's disease	RNA-Seq	ILLUMINA	nan
SRR5259635	2791066500	Uninvolved	Primary tissue	Epithelial	UBERON:0002114	duodenum	DOID:0050424	familial adenomatous polyposis	RNA-Seq	ILLUMINA	nan
SRR8052756	7269793272	nan	nan	nan	nan	nan	nan	nan	RNA-Seq	ILLUMINA	nan
SRR14027948	17255618400	Adjacent tissue	Primary tissue	Hepatocyte	UBERON:0002107	liver	DOID:684	hepatocellular carcinoma	RNA-Seq	ILLUMINA	nan
SRR915768	1348754688	heart	Primary tissue	Cardiomyocyte  inference from  heart	UBERON:0000948	heart	normal	normal	RNA-Seq	ILLUMINA	nan
SRR3393505	3332127600	dorsal striatum	Primary tissue	Neuron	UBERON:0000955	brain	normal	normal	RNA-Seq	ILLUMINA	nan
SRR22283231	31950762000	Whole blood	nan	nan	nan	nan	nan	nan	RNA-Seq	ILLUMINA	nan
ERR1514452	6592293827	Bone marrow	Primary tissue	tenocyte	UBERON:0002371	bone marrow	DOID:17	Cellular aging, musculoskeletal system disease	RNA-Seq	ILLUMINA	nan
SRR15013462	5221138176	liver	Primary tissue	Hepatocyte	UBERON:0002107	liver	normal	normal	RNA-Seq	ILLUMINA	nan
SRR13771797	11558784900	adjacent tissue	Primary tissue	Epithelial cell	UBERON:0000002	uterine cervix	DOID:4362	cervical cancer	RNA-Seq	ILLUMINA	nan
SRR22966273	1011149200	airway epithelia	differentiated primary cells	epitheial	UBERON:0004802	respiratory tract epithelium	DOID:0111579	asthma	RNA-Seq	ILLUMINA	nan
SRR16013049	20136339900	oral mucosa	Primary tissue	Epithelial	UBERON:0001723	tongue	DOID:0050866	oral squamous cell carcinoma	RNA-Seq	ILLUMINA	nan
SRR1721302	5656682000	Lung	Primary tissue	Alveolar cell	UBERON:0002048	lung	normal	normal	RNA-Seq	ILLUMINA	nan
SRR10173253	6585352308	ESCC	Primary tissue	Epithelial	UBERON:0001723	tongue	normal	normal	RNA-Seq	ILLUMINA	nan
SRR3393521	9488990300	brain	Primary tissue	neuron	UBERON:0002435	striatum	DOID:3312	bipolar disorder	RNA-Seq	ILLUMINA	nan
SRR22283256	29513998800	Whole blood	nan	nan	nan	nan	nan	nan	RNA-Seq	ILLUMINA	nan
SRR15013524	977975232	liver	Primary tissue	Hepatocyte	UBERON:0002107	liver	normal	normal	RNA-Seq	ILLUMINA	nan
SRR3170178	15778338170	cornea	Primary tissue	Corneal cell	UBERON:0000964	cornea	DOID:10126	keratoconus	RNA-Seq	ILLUMINA	nan
SRR15013669	4089902592	liver	Primary tissue	Hepatocyte Kupffer cell Liver sinusoidal endothelial cell Stellate cell and others	UBERON:0002107	liver	DOID:409	liver disease	RNA-Seq	ILLUMINA	nan
SRR22283291	20545628700	Whole blood	Primary tissue	Leukocyte	UBERON:0000178	blood	normal	normal	RNA-Seq	ILLUMINA	nan
SRR3703033	6357257400	Noncancerous tissue	Primary tissue	Thyroid epithelial cells	nan	nan	DOID:3969	papillary thyroid carcinoma	RNA-Seq	ILLUMINA	nan
SRR1721313	4227312800	Stomach	Primary tissue	Epithelial	UBERON:0000945	stomach	normal	normal	RNA-Seq	ILLUMINA	nan
SRR7094272	8456297111	Blood	Primary tissue	Leukocytes	UBERON:0000178	blood	normal	normal	RNA-Seq	ILLUMINA	nan
SRR12743482	15070214700	lung	Primary tissue	epithelial cell	UBERON:0002048	lung	DOID:399	tuberculosis	RNA-Seq	ILLUMINA	nan
SRR13518181	9906592070	colon	Primary tissue	Colonocyte	UBERON:0001155	colon	DOID:9256	colorectal cancer	RNA-Seq	ILLUMINA	nan
SRR1603670	30790991868	frozen postmortem brain from NICHD	Primary tissue	Glial cell	UBERON:0002336	corpus callosum	DOID:0060041	autism spectrum disorder	RNA-Seq	ILLUMINA	nan
SRR16522667	9095974600	Cortex	Primary tissue	Neuron	UBERON:0000955, UBERON:0001851, UBERON:0001954	Ammon's horn, brain, cortex	DOID:0060934	neurodevelopmental disorder with microcephaly	RNA-Seq	ILLUMINA	nan
SRR1721305	5339844400	Lung	Primary tissue	Respiratory epithelial cell	UBERON:0002048	lung	normal	normal	RNA-Seq	ILLUMINA	nan
SRR1424704	2695288500	nan	nan	nan	nan	nan	nan	nan	RNA-Seq	ILLUMINA	nan
SRR7012370	15202158900	Fresh frozen adjacent normal tissue	Primary tissue	Breast epithelial cells	UBERON:0001911	mammary gland	DOID:1612	breast cancer	RNA-Seq	ILLUMINA	nan
SRR1424675	4116807300	brain	Primary tissue	neuron	UBERON:0000955	brain	normal	normal	RNA-Seq	ILLUMINA	nan
ERR4659290	3623123436	nan	nan	epithelial cell of thymus	nan	nan	nan	nan	RNA-Seq	ILLUMINA	nan
SRR11547396	15083050200	Liver tissue	Primary tissue	Hepatocyte	UBERON:0002107	liver	DOID:684	hepatocellular carcinoma	RNA-Seq	ILLUMINA	nan
SRR25387871	5008047816	prostate	Primary tissue	Prostate cells	UBERON:0002367	prostate gland	DOID:10283	prostate cancer	RNA-Seq	ILLUMINA	nan
SRR15013588	4877038176	liver	Primary tissue	Hepatocyte	UBERON:0002107	liver	normal	normal	RNA-Seq	ILLUMINA	nan
SRR22302267	7637439412	Fibroblasts Monocytes	Primary tissue	primary fibroblast	nan	nan	DOID:2757, DOID:2914	immune system disease, obsolete Mycobacterium infectious disease	RNA-Seq	ILLUMINA	nan
SRR7094264	6710876807	nan	nan	nan	nan	nan	nan	nan	RNA-Seq	ILLUMINA	nan
