Run Accession;Cell type;UBERON term;Tissue type;Cell line;DOT term
ERR2022828;Estimated: Melanocytes (skin), Mammary gland cells (breast);UBERON:0001911 + Breast, UBERON:0009613 + Skin;Normal human tissue, Melanoma, Breast cancer;13 melanoma samples and 7 breast cancer cell lines, Primary tissue;DOID:1909 + Melanoma (Validated), DOID:3459 + Breast cancer (Estimated)
ERR2022830;Estimated: Melanocytes (skin), Mammary gland cells (breast);UBERON:0001911 + Breast, UBERON:0009613 + Skin;Normal human tissue, Melanoma, Breast cancer;13 melanoma samples and 7 breast cancer cell lines, Primary tissue;DOID:1909 + Melanoma (Validated), DOID:3459 + Breast cancer (Estimated)
ERR2022845;Estimated: Melanocytes (skin), Mammary gland cells (breast);UBERON:0001911 + Breast, UBERON:0009613 + Skin;Normal human tissue, Melanoma, Breast cancer;13 melanoma samples and 7 breast cancer cell lines, Primary tissue;DOID:1909 + Melanoma (Validated), DOID:3459 + Breast cancer (Estimated)
SRR13485948;Neuron (Estimated);UBERON:0001876 + Amygdala;NA;Primary tissue;DOID:10652 + Child Abuse (Validated), DOID:162 + Psychopathology (Estimated)
SRR11927151;Neuron (Estimated);UBERON:0001876 + Amygdala;NA;Primary tissue;DOID:10652 + Child Abuse (Validated), DOID:162 + Psychopathology (Estimated)
SRR11927146;Neuron (Estimated);UBERON:0001876 + Amygdala;NA;Primary tissue;DOID:10652 + Child Abuse (Validated), DOID:162 + Psychopathology (Estimated)
SRR11927147;Neuron (Estimated);UBERON:0001876 + Amygdala;NA;Primary tissue;DOID:10652 + Child Abuse (Validated), DOID:162 + Psychopathology (Estimated)
SRR11927142;Neuron (Estimated);UBERON:0001876 + Amygdala;NA;Primary tissue;DOID:10652 + Child Abuse (Validated), DOID:162 + Psychopathology (Estimated)
SRR11927149;Neuron (Estimated);UBERON:0001876 + Amygdala;NA;Primary tissue;DOID:10652 + Child Abuse (Validated), DOID:162 + Psychopathology (Estimated)
SRR22925389;Trophoblasts, Placental endothelial cells, Decidual cells (Inferred);UBERON:0000949 (Placenta);NA;Primary tissue;NA
SRR22925347;Trophoblasts, Placental endothelial cells, Decidual cells (Inferred);UBERON:0000949 (Placenta);NA;Primary tissue;NA
SRR22925262;Trophoblasts, Placental endothelial cells, Decidual cells (Inferred);UBERON:0000949 (Placenta);NA;Primary tissue;NA
SRR22925402;Trophoblasts, Placental endothelial cells, Decidual cells (Inferred);UBERON:0000949 (Placenta);NA;Primary tissue;NA
SRR22532373;NA;UBERON:0000178 + Peripheral blood;NA;Primary tissue;DOID:5062 + Cigarette dependence (Estimated)
SRR22532366;NA;UBERON:0000178 + Peripheral blood;NA;Primary tissue;DOID:5062 + Cigarette dependence (Estimated)
SRR22532397;NA;UBERON:0000178 + Peripheral blood;NA;Primary tissue;DOID:5062 + Cigarette dependence (Estimated)
SRR4240818;"Muscle cells (inferred from muscle tissue); Cardiac muscle cells (inferred from heart tissue)";"UBERON:0002106 (Muscle tissue); UBERON:0000948 (Heart)";NA;Primary tissue;"DOID:396 (Myotonic Dystrophy Type 1) - Validated; DOID:0060766 (Duchenne Muscular Dystrophy) - Validated; DOID:0060768 (Myotonic Dystrophy Type 2) - Validated"
SRR4240784;"Muscle cells (inferred from muscle tissue); Cardiac muscle cells (inferred from heart tissue)";"UBERON:0002106 (Muscle tissue); UBERON:0000948 (Heart)";NA;Primary tissue;"DOID:396 (Myotonic Dystrophy Type 1) - Validated; DOID:0060766 (Duchenne Muscular Dystrophy) - Validated; DOID:0060768 (Myotonic Dystrophy Type 2) - Validated"
SRR4240816;"Muscle cells (inferred from muscle tissue); Cardiac muscle cells (inferred from heart tissue)";"UBERON:0002106 (Muscle tissue); UBERON:0000948 (Heart)";NA;Primary tissue;"DOID:396 (Myotonic Dystrophy Type 1) - Validated; DOID:0060766 (Duchenne Muscular Dystrophy) - Validated; DOID:0060768 (Myotonic Dystrophy Type 2) - Validated"
SRR7012371;Breast epithelial cells (inferred from the tissue type);UBERON:0001911 - Mammary gland;NA;Primary tissue;Estimated - DOID:3459 - Breast cancer
SRR7012370;Breast epithelial cells (inferred from the tissue type);UBERON:0001911 - Mammary gland;NA;Primary tissue;Estimated - DOID:3459 - Breast cancer
SRR22302323;NA;UBERON:0002106 + Fibrous connective tissue (Estimated);Fibroblasts, Monocytes;Primary tissue;DOID:0050675 + Mycobacterial infection (Validated), DOID:8469 + Immune system disease (Validated)
SRR22302252;NA;UBERON:0002106 + Fibrous connective tissue (Estimated);Fibroblasts, Monocytes;Primary tissue;DOID:0050675 + Mycobacterial infection (Validated), DOID:8469 + Immune system disease (Validated)
SRR22302246;NA;UBERON:0002106 + Fibrous connective tissue (Estimated);Fibroblasts, Monocytes;Primary tissue;DOID:0050675 + Mycobacterial infection (Validated), DOID:8469 + Immune system disease (Validated)
SRR22302267;NA;UBERON:0002106 + Fibrous connective tissue (Estimated);Fibroblasts, Monocytes;Primary tissue;DOID:0050675 + Mycobacterial infection (Validated), DOID:8469 + Immune system disease (Validated)
SRR3703035;Thyroid epithelial cells (Inferred from tissue type);UBERON:0000178 - Thyroid gland (Inferred from study context);NA;Primary tissue;DOID:2945 - Papillary thyroid carcinoma (Validated)
SRR3703027;Thyroid epithelial cells (Inferred from tissue type);UBERON:0000178 - Thyroid gland (Inferred from study context);NA;Primary tissue;DOID:2945 - Papillary thyroid carcinoma (Validated)
SRR3703033;Thyroid epithelial cells (Inferred from tissue type);UBERON:0000178 - Thyroid gland (Inferred from study context);NA;Primary tissue;DOID:2945 - Papillary thyroid carcinoma (Validated)
SRR12743486;Lung tissue cells (inference from lung tissue samples) - possible types include but are not limited to, pneumocytes, alveolar macrophages, and bronchial epithelial cells.;NA;Lung tissue;NA;NA
SRR12743482;Lung tissue cells (inference from lung tissue samples) - possible types include but are not limited to, pneumocytes, alveolar macrophages, and bronchial epithelial cells.;NA;Lung tissue;NA;NA
SRR12743479;Lung tissue cells (inference from lung tissue samples) - possible types include but are not limited to, pneumocytes, alveolar macrophages, and bronchial epithelial cells.;NA;Lung tissue;NA;NA
ERR5320476;Adipocytes (inferred from context - Adipose tissue);UBERON:0001255 (Adipose tissue);Adipose tissue;Primary tissue;Estimated: DOID:10652 (Obesity)
ERR5320465;Adipocytes (inferred from context - Adipose tissue);UBERON:0001255 (Adipose tissue);Adipose tissue;Primary tissue;Estimated: DOID:10652 (Obesity)
SRR5259641;Epithelial cells (Inferred from duodenum context);UBERON:0002115 - Duodenum (Estimated, requires validation);NA;Primary tissue;DOID:2841 - Familial adenomatous polyposis (Validated), DOID:684 - Adenoma (Validated)
SRR5259629;Epithelial cells (Inferred from duodenum context);UBERON:0002115 - Duodenum (Estimated, requires validation);NA;Primary tissue;DOID:2841 - Familial adenomatous polyposis (Validated), DOID:684 - Adenoma (Validated)
SRR5259631;Epithelial cells (Inferred from duodenum context);UBERON:0002115 - Duodenum (Estimated, requires validation);NA;Primary tissue;DOID:2841 - Familial adenomatous polyposis (Validated), DOID:684 - Adenoma (Validated)
SRR5259635;Epithelial cells (Inferred from duodenum context);UBERON:0002115 - Duodenum (Estimated, requires validation);NA;Primary tissue;DOID:2841 - Familial adenomatous polyposis (Validated), DOID:684 - Adenoma (Validated)
SRR18572062;"Inferred - Respiratory epithelial cells, Fibroblasts, and other lung tissue constituent cells; Estimated";"UBERON:0002048 - Lung; Estimated";NA;Primary tissue;"DOID:0050150 - Idiopathic Pulmonary Fibrosis; Validated"
SRR12844808;Inferred - Motor neurons and skeletal muscle cells (based on spinal cord, diaphragm, and iliopsoas tissues);UBERON:0002240 (spinal cord), UBERON:0000945 (diaphragm), UBERON:0000976 (iliopsoas muscle);NA;Primary tissue;"Estimated - DOID:8875 (Spinal Muscular Atrophy) - Validation: Estimated based on study title ""SMA cases"""
SRR10192694;Neurons, Astrocytes, Immune cells (Inferred from context - Further validation recommended for specificity);UBERON:0001476 + Hippocampus (Estimated - Further validation recommended to specify subfields);NA;Primary tissue;DOID:5418 + Schizophrenia (Validated)
SRR10192689;Neurons, Astrocytes, Immune cells (Inferred from context - Further validation recommended for specificity);UBERON:0001476 + Hippocampus (Estimated - Further validation recommended to specify subfields);NA;Primary tissue;DOID:5418 + Schizophrenia (Validated)
SRR10192640;Neurons, Astrocytes, Immune cells (Inferred from context - Further validation recommended for specificity);UBERON:0001476 + Hippocampus (Estimated - Further validation recommended to specify subfields);NA;Primary tissue;DOID:5418 + Schizophrenia (Validated)
SRR10192663;Neurons, Astrocytes, Immune cells (Inferred from context - Further validation recommended for specificity);UBERON:0001476 + Hippocampus (Estimated - Further validation recommended to specify subfields);NA;Primary tissue;DOID:5418 + Schizophrenia (Validated)
SRR24709859;Estimated: Venous endothelial cells, Smooth muscle cells, Fibroblasts (inferred from tissue type: Upper limb vein);"UBERON:0004539 + Upper limb vein; UBERON:0004539 + Upper limb vein";NA;Primary tissue;Estimated: DOID:114 + Kidney disease
SRR24709858;Estimated: Venous endothelial cells, Smooth muscle cells, Fibroblasts (inferred from tissue type: Upper limb vein);"UBERON:0004539 + Upper limb vein; UBERON:0004539 + Upper limb vein";NA;Primary tissue;Estimated: DOID:114 + Kidney disease
SRR14362364;Cardiac Myocytes (inferred);UBERON:0000948 - Right Atrium Appendage;NA;Primary tissue;DOID:0070126 - Ischemic Heart Disease (Estimated)
SRR14362368;Cardiac Myocytes (inferred);UBERON:0000948 - Right Atrium Appendage;NA;Primary tissue;DOID:0070126 - Ischemic Heart Disease (Estimated)
SRR14362361;Cardiac Myocytes (inferred);UBERON:0000948 - Right Atrium Appendage;NA;Primary tissue;DOID:0070126 - Ischemic Heart Disease (Estimated)
SRR14362378;Cardiac Myocytes (inferred);UBERON:0000948 - Right Atrium Appendage;NA;Primary tissue;DOID:0070126 - Ischemic Heart Disease (Estimated)
SRR14362371;Cardiac Myocytes (inferred);UBERON:0000948 - Right Atrium Appendage;NA;Primary tissue;DOID:0070126 - Ischemic Heart Disease (Estimated)
SRR21736658;Oligodendrocytes, Astrocytes, Microglia (inferred from central nervous system white matter);UBERON:0002106 + Central nervous system white matter;NA;Primary tissue;DOID:10010 (Validated) + Multiple sclerosis
SRR26974282;NA;UBERON:0001134 + Skeletal Muscle Tissue;NA;NA;NA
SRR3621786;Hepatocytes (inferred);"UBERON:0002107 Liver; UBERON:0004535 Liver cell carcinoma";NA;Primary tissue;"DOID:684 Hepatocellular carcinoma; DOID:2043 Hepatitis C (Estimated)"
SRR15013671;Hepatocyte, Kupffer cell, Liver sinusoidal endothelial cell, Stellate cell, and others (inference from liver tissue);UBERON:0002107 + Liver;NA;Primary tissue;Estimated - DOID:0060688 + Liver disease
SRR15013552;Hepatocyte, Kupffer cell, Liver sinusoidal endothelial cell, Stellate cell, and others (inference from liver tissue);UBERON:0002107 + Liver;NA;Primary tissue;Estimated - DOID:0060688 + Liver disease
SRR15013467;Hepatocyte, Kupffer cell, Liver sinusoidal endothelial cell, Stellate cell, and others (inference from liver tissue);UBERON:0002107 + Liver;NA;Primary tissue;Estimated - DOID:0060688 + Liver disease
SRR15013504;Hepatocyte, Kupffer cell, Liver sinusoidal endothelial cell, Stellate cell, and others (inference from liver tissue);UBERON:0002107 + Liver;NA;Primary tissue;Estimated - DOID:0060688 + Liver disease
SRR15013479;Hepatocyte, Kupffer cell, Liver sinusoidal endothelial cell, Stellate cell, and others (inference from liver tissue);UBERON:0002107 + Liver;NA;Primary tissue;Estimated - DOID:0060688 + Liver disease
SRR15013677;Hepatocyte, Kupffer cell, Liver sinusoidal endothelial cell, Stellate cell, and others (inference from liver tissue);UBERON:0002107 + Liver;NA;Primary tissue;Estimated - DOID:0060688 + Liver disease
SRR15013520;Hepatocyte, Kupffer cell, Liver sinusoidal endothelial cell, Stellate cell, and others (inference from liver tissue);UBERON:0002107 + Liver;NA;Primary tissue;Estimated - DOID:0060688 + Liver disease
SRR15013657;Hepatocyte, Kupffer cell, Liver sinusoidal endothelial cell, Stellate cell, and others (inference from liver tissue);UBERON:0002107 + Liver;NA;Primary tissue;Estimated - DOID:0060688 + Liver disease
SRR15013518;Hepatocyte, Kupffer cell, Liver sinusoidal endothelial cell, Stellate cell, and others (inference from liver tissue);UBERON:0002107 + Liver;NA;Primary tissue;Estimated - DOID:0060688 + Liver disease
SRR15013666;Hepatocyte, Kupffer cell, Liver sinusoidal endothelial cell, Stellate cell, and others (inference from liver tissue);UBERON:0002107 + Liver;NA;Primary tissue;Estimated - DOID:0060688 + Liver disease
SRR15013683;Hepatocyte, Kupffer cell, Liver sinusoidal endothelial cell, Stellate cell, and others (inference from liver tissue);UBERON:0002107 + Liver;NA;Primary tissue;Estimated - DOID:0060688 + Liver disease
SRR15013478;Hepatocyte, Kupffer cell, Liver sinusoidal endothelial cell, Stellate cell, and others (inference from liver tissue);UBERON:0002107 + Liver;NA;Primary tissue;Estimated - DOID:0060688 + Liver disease
SRR15013587;Hepatocyte, Kupffer cell, Liver sinusoidal endothelial cell, Stellate cell, and others (inference from liver tissue);UBERON:0002107 + Liver;NA;Primary tissue;Estimated - DOID:0060688 + Liver disease
SRR15013601;Hepatocyte, Kupffer cell, Liver sinusoidal endothelial cell, Stellate cell, and others (inference from liver tissue);UBERON:0002107 + Liver;NA;Primary tissue;Estimated - DOID:0060688 + Liver disease
SRR15013573;Hepatocyte, Kupffer cell, Liver sinusoidal endothelial cell, Stellate cell, and others (inference from liver tissue);UBERON:0002107 + Liver;NA;Primary tissue;Estimated - DOID:0060688 + Liver disease
SRR15013488;Hepatocyte, Kupffer cell, Liver sinusoidal endothelial cell, Stellate cell, and others (inference from liver tissue);UBERON:0002107 + Liver;NA;Primary tissue;Estimated - DOID:0060688 + Liver disease
SRR15013611;Hepatocyte, Kupffer cell, Liver sinusoidal endothelial cell, Stellate cell, and others (inference from liver tissue);UBERON:0002107 + Liver;NA;Primary tissue;Estimated - DOID:0060688 + Liver disease
SRR15013598;Hepatocyte, Kupffer cell, Liver sinusoidal endothelial cell, Stellate cell, and others (inference from liver tissue);UBERON:0002107 + Liver;NA;Primary tissue;Estimated - DOID:0060688 + Liver disease
SRR15013615;Hepatocyte, Kupffer cell, Liver sinusoidal endothelial cell, Stellate cell, and others (inference from liver tissue);UBERON:0002107 + Liver;NA;Primary tissue;Estimated - DOID:0060688 + Liver disease
SRR15013528;Hepatocyte, Kupffer cell, Liver sinusoidal endothelial cell, Stellate cell, and others (inference from liver tissue);UBERON:0002107 + Liver;NA;Primary tissue;Estimated - DOID:0060688 + Liver disease
SRR15013630;Hepatocyte, Kupffer cell, Liver sinusoidal endothelial cell, Stellate cell, and others (inference from liver tissue);UBERON:0002107 + Liver;NA;Primary tissue;Estimated - DOID:0060688 + Liver disease
SRR15013470;Hepatocyte, Kupffer cell, Liver sinusoidal endothelial cell, Stellate cell, and others (inference from liver tissue);UBERON:0002107 + Liver;NA;Primary tissue;Estimated - DOID:0060688 + Liver disease
SRR15013462;Hepatocyte, Kupffer cell, Liver sinusoidal endothelial cell, Stellate cell, and others (inference from liver tissue);UBERON:0002107 + Liver;NA;Primary tissue;Estimated - DOID:0060688 + Liver disease
SRR15013524;Hepatocyte, Kupffer cell, Liver sinusoidal endothelial cell, Stellate cell, and others (inference from liver tissue);UBERON:0002107 + Liver;NA;Primary tissue;Estimated - DOID:0060688 + Liver disease
SRR15013669;Hepatocyte, Kupffer cell, Liver sinusoidal endothelial cell, Stellate cell, and others (inference from liver tissue);UBERON:0002107 + Liver;NA;Primary tissue;Estimated - DOID:0060688 + Liver disease
SRR15013588;Hepatocyte, Kupffer cell, Liver sinusoidal endothelial cell, Stellate cell, and others (inference from liver tissue);UBERON:0002107 + Liver;NA;Primary tissue;Estimated - DOID:0060688 + Liver disease
SRR15013639;Hepatocyte, Kupffer cell, Liver sinusoidal endothelial cell, Stellate cell, and others (inference from liver tissue);UBERON:0002107 + Liver;NA;Primary tissue;Estimated - DOID:0060688 + Liver disease
SRR15013497;Hepatocyte, Kupffer cell, Liver sinusoidal endothelial cell, Stellate cell, and others (inference from liver tissue);UBERON:0002107 + Liver;NA;Primary tissue;Estimated - DOID:0060688 + Liver disease
