Run accession number|Number of base pairs|Tissue type|Cell line|Cell type|UBERON code|UBERON term|DOT code|DOT term|Library strategy|Instrument platform|Donor information
SRR7094279|6785557055|blood|Primary tissue|leukocyte|UBERON:0000178|blood|normal|normal|RNA-Seq|ILLUMINA|NA
SRR25387905|12546107890|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR21736658|5223858587|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR7430750|4007301100|NA|Primary tissue|Ovary cells|UBERON:0000992|ovary|normal|normal|RNA-Seq|ILLUMINA|NA
SRR11812193|14821965800|NA|Primary tissue|colon epithelial|UBERON:0001159|sigmoid colon|normal|normal|RNA-Seq|ILLUMINA|NA
SRR8052767|7389001368|skin|Primary tissue|keratinocyte|UBERON:0002097|skin of body|normal|normal|RNA-Seq|ILLUMINA|NA
SRR19095697|3059245476|NA|Primary tissue|Skeletal muscle cell|UBERON:0001134|skeletal muscle tissue|DOID:0080846|latent autoimmune diabetes in adults|RNA-Seq|ILLUMINA|NA
SRR22283288|30859349400|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR15013677|2233419168|NA|Primary tissue|Hepatocyte|UBERON:0002107|liver|normal|normal|RNA-Seq|ILLUMINA|NA
SRR22532373|9104145792|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR15013520|9205240800|NA|Primary tissue|Hepatocyte|UBERON:0002107|liver|normal|normal|RNA-Seq|ILLUMINA|NA
SRR23630242|47654267878|Skin|Primary tissue|NA|UBERON:0002097|skin of body|normal|normal|RNA-Seq|ILLUMINA|NA
SRR22532366|9049523376|NA|Primary tissue|NA|UBERON:0000178|blood|normal|normal|RNA-Seq|ILLUMINA|NA
SRR15013657|3032544288|NA|Primary tissue|Hepatocyte|UBERON:0002107|liver|normal|normal|RNA-Seq|ILLUMINA|NA
SRR15013518|5012725440|NA|Primary tissue|Hepatocyte|UBERON:0002107|liver|normal|normal|RNA-Seq|ILLUMINA|NA
SRR22925389|6755504382|NA|Primary tissue|Trophoblast|NA|NA|normal|normal|RNA-Seq|ILLUMINA|NA
SRR6937808|10737227750|NA|Primary tissue|Fibroblast|UBERON:0000014|zone of skin|normal|normal|RNA-Seq|ILLUMINA|NA
SRR13142169|6878298768|NA|Primary tissue|Spermatogenic cells|UBERON:0000473|testis|normal|normal|RNA-Seq|ILLUMINA|NA
SRR15013666|3070918752|NA|Primary tissue|Hepatocyte|UBERON:0002107|liver|normal|normal|RNA-Seq|ILLUMINA|NA
SRR16212317|20472326400|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR14027920|17018525700|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR1721309|5801913000|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR13485948|10854111600|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR1424669|2160425400|brain|Primary tissue|neuron|UBERON:0000955|brain|normal|normal|RNA-Seq|ILLUMINA|NA
SRR22283226|29473063200|NA|Primary tissue|Blood cells|UBERON:0000178|blood|normal|normal|RNA-Seq|ILLUMINA|NA
ERR5320476|3653828562|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR22301780|11019258220|NA|Primary tissue|NA|NA|NA|normal|normal|RNA-Seq|ILLUMINA|NA
SRR15013683|4520801952|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR14362368|13221533200|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR15013478|2673930432|NA|Primary tissue|Hepatocyte|NA|NA|normal|normal|RNA-Seq|ILLUMINA|NA
SRR15013587|4718030688|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR25387928|4855172752|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
ERR2022830|2812642190|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR22301782|11160580328|NA|Primary tissue|NA|UBERON:0001987|placenta|DOID:10591|pre-eclampsia|RNA-Seq|ILLUMINA|NA
SRR10192689|20118682000|NA|Primary tissue|Neuron|UBERON:0001954|Ammon's horn|normal|normal|RNA-Seq|ILLUMINA|NA
SRR7767510|5602753800|NA|Primary tissue|Endometrial epithelial cell|UBERON:0001295|endometrium|normal|normal|RNA-Seq|ILLUMINA|NA
SRR14362361|10914036600|NA|Primary tissue|Cardiac myocyte|UBERON:0006631|right atrium auricular region|DOID:4|disease|RNA-Seq|ILLUMINA|NA
SRR26436577|12297907798|NA|Primary tissue|Epithelial|NA|NA|normal|normal|RNA-Seq|ILLUMINA|NA
SRR22532397|7327787152|NA|Primary tissue|NA|UBERON:0000178|blood|normal|normal|RNA-Seq|ILLUMINA|NA
SRR25387955|4301380360|NA|Primary tissue|Prostate cells|UBERON:0002367|prostate gland|DOID:10283|prostate cancer|RNA-Seq|ILLUMINA|NA
SRR12743486|14025568200|lung|Primary tissue|lung epithelial cells|UBERON:0002048|lung|DOID:2957|pulmonary tuberculosis|RNA-Seq|ILLUMINA|NA
SRR7094284|8653806305|Blood|Primary tissue|Leukocytes|UBERON:0000178|blood|normal|normal|RNA-Seq|ILLUMINA|NA
SRR15013601|5916210048|NA|Primary tissue|Hepatocyte|UBERON:0002107|liver|normal|normal|RNA-Seq|ILLUMINA|NA
SRR22302323|9378755768|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR26974282|7105684800|NA|Primary tissue|Skeletal muscle cell|NA|NA|normal|normal|RNA-Seq|ILLUMINA|NA
SRR14027924|18716490300|NA|Primary tissue|Hepatocyte|NA|NA|normal|normal|RNA-Seq|ILLUMINA|NA
SRR15013573|7914144000|NA|Primary tissue|Hepatocyte|NA|NA|normal|normal|RNA-Seq|ILLUMINA|NA
SRR24709859|4417938520|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR5259631|1834838350|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR6937784|6613485900|NA|Primary tissue|Fibroblast|UBERON:0002097|skin of body|normal|keloid (!)|RNA-Seq|ILLUMINA|NA
SRR15013488|1551467616|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR19666460|21613468800|NA|Primary tissue|Fibroblast|UBERON:0000002|uterine cervix|DOID:4362|cervical cancer|RNA-Seq|ILLUMINA|NA
SRR22302252|15310619896|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
ERR2022845|3636566137|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR22925347|10016892352|NA|Primary tissue|Trophoblast|NA|NA|normal|normal|RNA-Seq|ILLUMINA|NA
ERR5320465|2993886384|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
ERR1514472|6546839041|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR7094260|6960774495|Blood|Primary tissue|Erythrocytes|UBERON:0000178|blood|normal|normal|RNA-Seq|ILLUMINA|NA
SRR10192640|9233661200|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
ERR5285493|27451250200|Oral mucosa|Primary tissue|Epithelial cells|UBERON:0003729|mouth mucosa|normal|normal|RNA-Seq|ILLUMINA|NA
SRR11927151|10144759200|NA|Primary tissue|Neuron|UBERON:0001876|amygdala|normal|normal|RNA-Seq|ILLUMINA|NA
ERR1993153|1279880364|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR15013611|3624687264|NA|Primary tissue|Hepatocyte|UBERON:0002107|liver|normal|normal|RNA-Seq|ILLUMINA|NA
SRR8052771|8600780160|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR7430706|5233393500|NA|Primary tissue|Ovary cell|UBERON:0000992|ovary|normal|normal|RNA-Seq|ILLUMINA|NA
ERR1514464|5517111790|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR15013598|7617452736|NA|Primary tissue|Hepatocyte|UBERON:0002107|liver|normal|normal|RNA-Seq|ILLUMINA|NA
SRR23630196|30878361762|skin|Primary tissue|NA|UBERON:0002097|skin of body|normal|normal|RNA-Seq|ILLUMINA|NA
SRR5591601|18620433200|NA|Primary tissue|Retinal cell|UBERON:0013682|peripheral region of retina|normal|normal|RNA-Seq|ILLUMINA|NA
SRR8052766|8540927388|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR22966254|2132872000|NA|NA|NA|UBERON:0004802|respiratory tract epithelium|normal|normal|RNA-Seq|ILLUMINA|NA
ERR4659269|1653751296|thymus|Primary tissue|NA|UBERON:0002370|thymus|normal|normal|RNA-Seq|ILLUMINA|NA
SRR7430729|3968058500|NA|Primary tissue|Testicular cells|UBERON:0000473|testis|normal|normal|RNA-Seq|ILLUMINA|NA
SRR8518206|14925108600|NA|Primary tissue|Breast tissue cells|UBERON:0001911|mammary gland|normal|normal|RNA-Seq|ILLUMINA|NA
SRR22925262|7045945840|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR7430735|3580327500|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR1424705|4201241500|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR11927146|10150232200|NA|Primary tissue|Neuron|UBERON:0001876|amygdala|normal|normal|RNA-Seq|ILLUMINA|NA
SRR25387977|4587098256|NA|Primary tissue|Epithelial cell|UBERON:0002367|prostate gland|DOID:10283|prostate cancer|RNA-Seq|ILLUMINA|NA
SRR22283223|25564284000|NA|Primary tissue|Blood cells|UBERON:0000178|blood|normal|normal|RNA-Seq|ILLUMINA|NA
SRR23630234|47901190024|skin|Primary tissue|NA|UBERON:0000014|zone of skin|normal|normal|RNA-Seq|ILLUMINA|NA
SRR6937778|7502184944|NA|Primary tissue|Fibroblast|UBERON:0000014|zone of skin|normal|keloid (!)|RNA-Seq|ILLUMINA|NA
SRR1603663|25287600247|NA|Primary tissue|Neuron|UBERON:0002336|corpus callosum|normal|normal|RNA-Seq|ILLUMINA|NA
SRR1721287|5385936200|heart|Primary tissue|Cardiomyocyte|UBERON:0000948|heart|normal|normal|RNA-Seq|ILLUMINA|NA
SRR11547377|23569732500|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR12844808|8712085314|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR15013615|3870287712|NA|Primary tissue|Hepatocyte|UBERON:0002107|liver|normal|normal|RNA-Seq|ILLUMINA|NA
SRR18572062|18689281800|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR11927147|11660726200|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR14362378|12805161600|NA|Primary tissue|Cardiac cell|UBERON:0000948|heart|DOID:4|disease|RNA-Seq|ILLUMINA|NA
SRR3703027|7589395600|NA|Primary tissue|Thyroid cell|UBERON:0002046|thyroid gland|DOID:3969|papillary thyroid carcinoma|RNA-Seq|ILLUMINA|NA
SRR4785837|17895328000|synovial biopsy|Primary tissue|fibroblast|UBERON:0007616|layer of synovial tissue|normal|normal|RNA-Seq|ILLUMINA|NA
SRR13572947|12166505786|NA|Primary tissue|Thyroid cell|UBERON:0002046|thyroid gland|DOID:3969|papillary thyroid carcinoma|RNA-Seq|ILLUMINA|NA
SRR1424658|1975226100|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
ERR1514456|4319818586|Musculoskeletal tissue|Primary tissue|NA|UBERON:0001134|skeletal muscle tissue|normal|normal|RNA-Seq|ILLUMINA|NA
SRR22966249|2223624100|NA|NA|NA|UBERON:0004802|respiratory tract epithelium|DOID:0111579|asthma|RNA-Seq|ILLUMINA|NA
SRR10192663|10682557024|NA|Primary tissue|Neuron|UBERON:0001954|Ammon's horn|normal|normal|RNA-Seq|ILLUMINA|NA
SRR22283257|33402661800|NA|Primary tissue|Blood cells|UBERON:0000178|blood|normal|normal|RNA-Seq|ILLUMINA|NA
SRR15013528|6856029984|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
ERR5285526|19848386800|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR4240816|9658784862|NA|Primary tissue|Skeletal muscle cell|UBERON:0001385|tibialis anterior|normal|myotonic dystrophy (!)|RNA-Seq|ILLUMINA|NA
ERR1993156|1122185484|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR15013630|3579657216|NA|Primary tissue|Hepatocyte|UBERON:0002107|liver|normal|normal|RNA-Seq|ILLUMINA|NA
SRR22302246|15469790442|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR15013470|4662525696|NA|Primary tissue|Hepatocyte|UBERON:0002107|liver|normal|normal|RNA-Seq|ILLUMINA|NA
ERR1993158|1004166912|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR5259635|2791066500|NA|Primary tissue|Epithelial|UBERON:0002114|duodenum|DOID:0050424|familial adenomatous polyposis|RNA-Seq|ILLUMINA|NA
SRR8052756|7269793272|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR14027948|17255618400|NA|Primary tissue|Hepatocyte|UBERON:0002107|liver|DOID:684|hepatocellular carcinoma|RNA-Seq|ILLUMINA|NA
SRR915768|1348754688|NA|Primary tissue|Cardiomyocyte  inference from  heart|UBERON:0000948|heart|normal|normal|RNA-Seq|ILLUMINA|NA
SRR3393505|3332127600|dorsal striatum|Primary tissue|Neuron|UBERON:0000955|brain|normal|normal|RNA-Seq|ILLUMINA|NA
SRR22283231|31950762000|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
ERR1514452|6592293827|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR15013462|5221138176|NA|Primary tissue|Hepatocyte|UBERON:0002107|liver|normal|normal|RNA-Seq|ILLUMINA|NA
SRR13771797|11558784900|NA|Primary tissue|Epithelial cell|UBERON:0000002|uterine cervix|DOID:4362|cervical cancer|RNA-Seq|ILLUMINA|NA
SRR22966273|1011149200|NA|NA|NA|UBERON:0004802|respiratory tract epithelium|DOID:0111579|asthma|RNA-Seq|ILLUMINA|NA
SRR16013049|20136339900|NA|Primary tissue|Epithelial|UBERON:0001723|tongue|DOID:0050866|oral squamous cell carcinoma|RNA-Seq|ILLUMINA|NA
SRR1721302|5656682000|Lung|Primary tissue|Alveolar cell|UBERON:0002048|lung|normal|normal|RNA-Seq|ILLUMINA|NA
SRR10173253|6585352308|NA|Primary tissue|Epithelial|UBERON:0001723|tongue|normal|normal|RNA-Seq|ILLUMINA|NA
SRR3393521|9488990300|brain|Primary tissue|neuron|UBERON:0002435|striatum|DOID:3312|bipolar disorder|RNA-Seq|ILLUMINA|NA
SRR22283256|29513998800|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR15013524|977975232|NA|Primary tissue|Hepatocyte|NA|NA|normal|normal|RNA-Seq|ILLUMINA|NA
SRR3170178|15778338170|NA|Primary tissue|Corneal cell|UBERON:0000964|cornea|DOID:10126|keratoconus|RNA-Seq|ILLUMINA|NA
SRR15013669|4089902592|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR22283291|20545628700|NA|Primary tissue|Leukocyte|UBERON:0000178|blood|normal|normal|RNA-Seq|ILLUMINA|NA
SRR3703033|6357257400|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR1721313|4227312800|Stomach|Primary tissue|Epithelial|UBERON:0000945|stomach|normal|normal|RNA-Seq|ILLUMINA|NA
SRR7094272|8456297111|Blood|Primary tissue|Leukocytes|UBERON:0000178|blood|normal|normal|RNA-Seq|ILLUMINA|NA
SRR12743482|15070214700|lung|Primary tissue|epithelial cell|UBERON:0002048|lung|DOID:399|tuberculosis|RNA-Seq|ILLUMINA|NA
SRR13518181|9906592070|NA|Primary tissue|Colonocyte|UBERON:0001155|colon|DOID:9256|colorectal cancer|RNA-Seq|ILLUMINA|NA
SRR1603670|30790991868|NA|Primary tissue|Glial cell|UBERON:0002336|corpus callosum|DOID:0060041|autism spectrum disorder|RNA-Seq|ILLUMINA|NA
SRR16522667|9095974600|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR1721305|5339844400|Lung|Primary tissue|Respiratory epithelial cell|UBERON:0002048|lung|normal|normal|RNA-Seq|ILLUMINA|NA
SRR1424704|2695288500|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR7012370|15202158900|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR1424675|4116807300|brain|Primary tissue|neuron|UBERON:0000955|brain|normal|normal|RNA-Seq|ILLUMINA|NA
ERR4659290|3623123436|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR11547396|15083050200|NA|Primary tissue|Hepatocyte|UBERON:0002107|liver|DOID:684|hepatocellular carcinoma|RNA-Seq|ILLUMINA|NA
SRR25387871|5008047816|NA|Primary tissue|Prostate cells|UBERON:0002367|prostate gland|DOID:10283|prostate cancer|RNA-Seq|ILLUMINA|NA
SRR15013588|4877038176|NA|Primary tissue|Hepatocyte|NA|NA|normal|normal|RNA-Seq|ILLUMINA|NA
SRR22302267|7637439412|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR7094264|6710876807|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR23630258|46087532044|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR3621786|1274164994|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR14362371|12045796800|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR8932009|9999910616|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR24630282|13922886000|NA|Primary tissue|Epithelial|UBERON:0000062, UBERON:0000468, UBERON:0000995|multicellular organism, organ, uterus|normal|normal|RNA-Seq|ILLUMINA|NA
SRR11927142|10512111200|NA|NA|NA|UBERON:0001876|amygdala|normal|normal|RNA-Seq|ILLUMINA|NA
SRR20695360|24127489800|NA|Primary tissue|Dermal cells|UBERON:0002097|skin of body|normal|normal|RNA-Seq|ILLUMINA|NA
SRR22301789|10702597328|NA|Primary tissue|NA|NA|NA|normal|normal|RNA-Seq|ILLUMINA|NA
SRR15013639|3830772192|NA|Primary tissue|Hepatocyte|UBERON:0002107|liver|normal|normal|RNA-Seq|ILLUMINA|NA
SRR22925402|9939566146|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR22301772|11824233180|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR12743479|15077321400|lung|Primary tissue||UBERON:0002048|lung|DOID:2957|pulmonary tuberculosis|RNA-Seq|ILLUMINA|NA
SRR24630284|15279427200|NA|Primary tissue|Endometrial epithelial|UBERON:0001295|endometrium|normal|normal|RNA-Seq|ILLUMINA|NA
SRR19095724|2996133084|NA|Primary tissue|Skeletal muscle cell|UBERON:0000376, UBERON:0001630|hindlimb stylopod, muscle organ|DOID:0080846|latent autoimmune diabetes in adults|RNA-Seq|ILLUMINA|NA
SRR11927149|10353182000|NA|Primary tissue|Neuron|UBERON:0001876|amygdala|normal|normal|RNA-Seq|ILLUMINA|NA
SRR15013497|7745260512|NA|Primary tissue|Hepatocyte|UBERON:0002107|liver|normal|normal|RNA-Seq|ILLUMINA|NA
ERR4659289|3826981758|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR24709858|4760968776|NA|NA|NA|NA|NA|NA|NA|RNA-Seq|ILLUMINA|NA
SRR8932005|8820622294|NA|Primary tissue|Epithelial cells|UBERON:0001043|esophagus|normal|normal|RNA-Seq|ILLUMINA|NA
SRR836285|2962044750|NA|Primary tissue|Neuron|UBERON:0000955|brain|normal|normal|RNA-Seq|ILLUMINA|NA
